Year,CountyCode,County,HarvestedAcres,Yield,Production,Price
1985,107,Tulare,14479.0,9.44,136740.0,108.0
1985,113,Yolo,1169.0,6.2,7250.0,211.0
1984,1,Alameda,1672.0,3.16,5286.0,398.0
1984,5,Amador,1609.0,2.88,4641.0,409.0
1984,9,Calaveras,77.0,1.3,100.0,420.0
1984,13,ContraCosta,851.0,1.84,1566.0,302.0
1984,17,ElDorado,313.0,4.4,1377.0,416.0
1984,19,Fresno,34434.0,8.68,298900.0,138.0
1984,29,Kern,34861.0,6.95,242160.0,97.0
1984,31,Kings,1117.0,8.75,9774.0,100.0
1984,33,Lake,2775.0,3.57,9901.0,425.0
1984,39,Madera,36010.0,6.87,247389.0,95.0
1984,45,Mendocino,10384.0,3.72,38626.0,417.0
1984,47,Merced,17230.0,8.94,154000.0,121.0
1984,53,Monterey,29792.0,3.93,117020.0,359.0
1984,55,Napa,24831.0,4.03,99996.0,768.0
1984,57,Nevada,,,46.0,496.0
1984,61,Placer,129.0,2.05,265.0,193.0
1984,65,Riverside,2661.0,3.9,10378.0,335.0
1984,67,Sacramento,4200.0,7.0,29400.0,133.0
1984,69,SanBenito,4000.0,3.0,12000.0,390.0
1984,71,SanBernardino,6500.0,2.11,13740.0,111.0
1984,73,SanDiego,175.0,1.8,315.0,310.0
1984,77,SanJoaquin,35920.0,6.74,242000.0,170.0
1984,79,SanLuisObispo,5477.0,4.3,23551.0,398.0
1984,83,SantaBarbara,8670.0,3.85,33380.0,414.0
1984,85,SantaClara,1560.0,2.5,3900.0,300.0
1984,87,SantaCruz,103.0,1.55,160.0,825.0
1984,95,Solano,1054.0,5.34,5632.0,271.0
1984,97,Sonoma,26348.0,3.81,100293.0,592.0
1984,99,Stanislaus,16331.0,7.32,119600.0,113.0
1984,107,Tulare,14269.0,8.27,118000.0,160.0
1984,113,Yolo,969.0,6.73,6521.0,250.0
1983,1,Alameda,1640.0,3.07,5042.0,424.0
1983,5,Amador,1365.0,3.1,4232.0,396.0
1983,9,Calaveras,77.0,2.08,160.0,400.0
1983,13,ContraCosta,835.0,2.41,2012.0,355.0
1983,17,ElDorado,253.0,4.7,1189.0,436.0
1983,19,Fresno,32885.0,8.8,289400.0,160.0
1983,21,Glenn,875.0,6.75,5906.0,150.0
1983,29,Kern,33156.0,7.31,242220.0,101.0
1983,31,Kings,1290.0,7.3,9417.0,141.0
1983,33,Lake,2535.0,3.55,8995.0,409.0
1983,39,Madera,31616.0,9.0,284544.0,125.0
1983,45,Mendocino,10193.0,3.52,35850.0,408.0
1983,47,Merced,15979.0,7.41,118400.0,143.0
1983,53,Monterey,28112.0,3.4,95635.0,374.0
1983,55,Napa,25245.0,3.53,89084.0,714.0
1983,57,Nevada,,,23.0,500.0
1983,61,Placer,129.0,2.0,258.0,265.0
1983,65,Riverside,2583.0,4.12,10642.0,275.0
1983,67,Sacramento,3610.0,5.6,20200.0,170.0
1983,69,SanBenito,3950.0,3.4,13430.0,420.0
1983,71,SanBernardino,6600.0,2.59,17070.0,120.0
1983,73,SanDiego,213.0,1.9,405.0,415.0
1983,77,SanJoaquin,34350.0,6.32,217000.0,228.0
1983,79,SanLuisObispo,4977.0,3.9,19410.0,432.0
1983,83,SantaBarbara,8452.0,2.47,20876.0,563.0
1983,85,SantaClara,1645.0,2.0,3290.0,350.0
1983,87,SantaCruz,97.0,1.27,123.0,821.0
1983,95,Solano,1136.0,4.69,5329.0,261.0
1983,97,Sonoma,25541.0,3.14,80201.0,543.0
1983,99,Stanislaus,16312.0,7.51,122500.0,147.0
1983,107,Tulare,14045.0,9.04,127000.0,166.0
1983,113,Yolo,939.0,7.12,6686.0,285.0
1982,1,Alameda,1610.0,3.93,6326.0,528.0
1982,5,Amador,1154.0,3.46,3988.0,441.0
1982,9,Calaveras,77.0,1.82,140.0,400.0
