,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
839,Mutant Chronicles,2008,310.0,R,Horror,Simon Hunter,111,5.2,1,2.7927927927927927
840,My Bloody Valentine 3D,2009,24.0,R,Horror,Patrick Lussier,101,5.4,1,0.2376237623762376
841,My Bloody Valentine 3D,2009,24.0,R,Thriller,Patrick Lussier,101,5.4,1,0.2376237623762376
842,Natural Born Killers,1994,98.0,R,Crime,Oliver Stone,118,7.2,1,0.8305084745762712
843,Natural Born Killers,1994,98.0,R,Drama,Oliver Stone,118,7.2,1,0.8305084745762712
844,Navajo Joe,1966,82.0,NR,Western,Sergio Corbucci,93,6.3,1,0.8817204301075269
845,Next,2007,53.0,PG-13,Action,Lee Tamahori,96,6.2,1,0.5520833333333334
846,Next,2007,53.0,PG-13,Sci-Fi,Lee Tamahori,96,6.2,1,0.5520833333333334
847,Next,2007,53.0,PG-13,Thriller,Lee Tamahori,96,6.2,1,0.5520833333333334
848,Ninja Assassin,2009,137.0,R,Action,James McTeigue,99,6.3,1,1.3838383838383839
849,Ninja Assassin,2009,137.0,R,Crime,James McTeigue,99,6.3,1,1.3838383838383839
850,Ninja Assassin,2009,137.0,R,Thriller,James McTeigue,99,6.3,1,1.3838383838383839
851,No Country for Old Men,2007,22.0,R,Crime,Ethan Coen|Joel Coen,122,8.1,1,0.18032786885245902
852,No Country for Old Men,2007,22.0,R,Drama,Ethan Coen|Joel Coen,122,8.1,1,0.18032786885245902
853,No Country for Old Men,2007,22.0,R,Thriller,Ethan Coen|Joel Coen,122,8.1,1,0.18032786885245902
854,Octopussy,1983,46.0,PG,Action,John Glen,131,6.5,1,0.3511450381679389
855,Octopussy,1983,46.0,PG,Adventure,John Glen,131,6.5,1,0.3511450381679389
856,Octopussy,1983,46.0,PG,Crime,John Glen,131,6.5,1,0.3511450381679389
857,Octopussy,1983,46.0,PG,Thriller,John Glen,131,6.5,1,0.3511450381679389
858,Olympus Has Fallen,2013,156.0,R,Action,Antoine Fuqua,119,6.5,1,1.3109243697478992
859,Olympus Has Fallen,2013,156.0,R,Thriller,Antoine Fuqua,119,6.5,1,1.3109243697478992
