,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
637,Jurassic Park III,2001,6.0,PG-13,Thriller,Joe Johnston,92,5.8,1,0.06521739130434782
638,K-19: The Widowmaker,2002,10.0,PG-13,Drama,Kathryn Bigelow,138,6.6,1,0.07246376811594203
639,K-19: The Widowmaker,2002,10.0,PG-13,History,Kathryn Bigelow,138,6.6,1,0.07246376811594203
640,K-19: The Widowmaker,2002,10.0,PG-13,Thriller,Kathryn Bigelow,138,6.6,1,0.07246376811594203
641,K-19: The Widowmaker,2002,10.0,PG-13,War,Kathryn Bigelow,138,6.6,1,0.07246376811594203
642,Kelly's Heroes,1970,139.0,GP,Action,Brian G. Hutton,144,7.6,1,0.9652777777777778
643,Kelly's Heroes,1970,139.0,GP,Adventure,Brian G. Hutton,144,7.6,1,0.9652777777777778
644,Kelly's Heroes,1970,139.0,GP,Comedy,Brian G. Hutton,144,7.6,1,0.9652777777777778
645,Kelly's Heroes,1970,139.0,GP,War,Brian G. Hutton,144,7.6,1,0.9652777777777778
646,Keoma,1976,76.0,Unrated,Action,Enzo G. Castellari,105,7.2,1,0.7238095238095238
647,Keoma,1976,76.0,Unrated,Drama,Enzo G. Castellari,105,7.2,1,0.7238095238095238
648,Keoma,1976,76.0,Unrated,Western,Enzo G. Castellari,105,7.2,1,0.7238095238095238
649,Kick-Ass,2010,64.0,R,Action,Matthew Vaughn,117,7.8,1,0.5470085470085471
650,Kick-Ass,2010,64.0,R,Comedy,Matthew Vaughn,117,7.8,1,0.5470085470085471
651,Kill Bill: Vol. 1,2003,95.0,R,Action,Quentin Tarantino,111,8.1,1,0.8558558558558559
652,Kill Bill: Vol. 1,2003,95.0,R,Crime,Quentin Tarantino,111,8.1,1,0.8558558558558559
653,Kill Bill: Vol. 2,2004,3.0,R,Action,Quentin Tarantino,137,8.0,1,0.021897810218978103
654,Kill Bill: Vol. 2,2004,3.0,R,Crime,Quentin Tarantino,137,8.0,1,0.021897810218978103
655,Kill Bill: Vol. 2,2004,3.0,R,Thriller,Quentin Tarantino,137,8.0,1,0.021897810218978103
656,King Arthur,2004,378.0,R,Action,Antoine Fuqua,126,6.2,1,3.0
657,King Arthur,2004,378.0,R,Adventure,Antoine Fuqua,126,6.2,1,3.0
658,King Arthur,2004,378.0,R,Drama,Antoine Fuqua,126,6.2,1,3.0
659,King Kong,2005,23.0,PG-13,Action,Peter Jackson,187,7.3,1,0.12299465240641712
660,King Kong,2005,23.0,PG-13,Adventure,Peter Jackson,187,7.3,1,0.12299465240641712
661,King Kong,2005,23.0,PG-13,Drama,Peter Jackson,187,7.3,1,0.12299465240641712
662,King Kong,2005,23.0,PG-13,Romance,Peter Jackson,187,7.3,1,0.12299465240641712
663,King of New York,1990,38.0,X,Crime,Abel Ferrara,103,6.9,1,0.36893203883495146
664,King of New York,1990,38.0,X,Thriller,Abel Ferrara,103,6.9,1,0.36893203883495146
665,Kingdom of Heaven,2005,610.0,R,Action,Ridley Scott,144,7.1,1,4.236111111111111
666,Kingdom of Heaven,2005,610.0,R,Adventure,Ridley Scott,144,7.1,1,4.236111111111111
667,Kingdom of Heaven,2005,610.0,R,Drama,Ridley Scott,144,7.1,1,4.236111111111111
668,Kingdom of Heaven,2005,610.0,R,History,Ridley Scott,144,7.1,1,4.236111111111111
669,Kingdom of Heaven,2005,610.0,R,War,Ridley Scott,144,7.1,1,4.236111111111111
670,Kiss Kiss Bang Bang,2005,15.0,R,Action,Shane Black,103,7.7,1,0.14563106796116504
671,Kiss Kiss Bang Bang,2005,15.0,R,Comedy,Shane Black,103,7.7,1,0.14563106796116504
672,Kiss Kiss Bang Bang,2005,15.0,R,Crime,Shane Black,103,7.7,1,0.14563106796116504
